Source_Name,Sub_Class,Predicted_Macro_Class,Confidence,Prob_AGN,Prob_Binary,Prob_Galactic,Prob_Galaxy,Prob_Pulsar,Final_Class
4FGL J2042.7+1519,unass,AGN,0.9,0.9,0.01,0.065,0.005,0.02,predicted_bll
4FGL J0000.3-7355,unass,AGN,0.9,0.9,0.02,0.06,0.0,0.02,predicted_bll
4FGL J0104.8-2215,unass,AGN,0.9,0.9,0.055,0.01,0.0,0.035,predicted_bcu
4FGL J0500.9-5213,unass,AGN,0.9,0.9,0.005,0.035,0.035,0.025,predicted_bll
4FGL J1620.9+0021,unass,AGN,0.9,0.9,0.01,0.03,0.015,0.045,predicted_bcu
4FGL J1209.2-7635,unass,AGN,0.9,0.9,0.005,0.065,0.01,0.02,predicted_bll
4FGL J1827.2+4303,unass,AGN,0.9,0.9,0.01,0.03,0.03,0.03,predicted_bcu
4FGL J2016.3+4953,unk,AGN,0.9,0.9,0.005,0.045,0.015,0.035,predicted_bll
4FGL J1220.5-2745,unass,AGN,0.9,0.9,0.0,0.01,0.01,0.08,predicted_fsrq
4FGL J1444.1+7601,unass,AGN,0.9,0.9,0.005,0.03,0.03,0.035,predicted_bll
4FGL J0124.0+3035,unass,AGN,0.9,0.9,0.035,0.035,0.005,0.025,predicted_fsrq
4FGL J1630.1+1836,unass,AGN,0.9,0.9,0.015,0.02,0.05,0.015,predicted_bcu
4FGL J1721.4+2529,unass,AGN,0.9,0.9,0.01,0.055,0.005,0.03,predicted_fsrq
4FGL J1153.2+0123,unass,AGN,0.9,0.9,0.03,0.015,0.055,0.0,predicted_bll
4FGL J1554.2+2008,unass,AGN,0.9,0.9,0.0,0.07,0.03,0.0,predicted_bll
4FGL J1335.6-4052,unass,AGN,0.9,0.9,0.015,0.03,0.035,0.02,predicted_bll
4FGL J1405.9-1853,unass,AGN,0.9,0.9,0.015,0.05,0.025,0.01,predicted_bll
4FGL J0243.1-4218,unass,AGN,0.9,0.9,0.01,0.03,0.0,0.06,predicted_bcu
4FGL J1641.5+2017,unass,AGN,0.9,0.9,0.0,0.05,0.05,0.0,predicted_bll
4FGL J1705.5+2907,unass,AGN,0.9,0.9,0.02,0.03,0.015,0.035,predicted_fsrq
4FGL J0008.9+2509,unass,AGN,0.9,0.9,0.005,0.055,0.01,0.03,predicted_fsrq
4FGL J1716.1+2309,unass,AGN,0.9,0.9,0.0,0.06,0.0,0.04,predicted_bll
4FGL J0230.3+1713,unass,AGN,0.9,0.9,0.015,0.05,0.0,0.035,predicted_fsrq
4FGL J1720.6+0708,unass,Pulsar,0.8999,0.015,0.065,0.0151,0.005,0.8999,predicted_msp
4FGL J1537.2+2635,unass,AGN,0.8951,0.8951,0.0,0.03,0.0199,0.055,predicted_fsrq
4FGL J0126.8+2412,unass,AGN,0.895,0.895,0.08,0.02,0.0,0.005,predicted_fsrq
4FGL J0420.6-4802,unass,AGN,0.895,0.895,0.01,0.09,0.005,0.0,predicted_bll
4FGL J0444.8-3514,unass,AGN,0.895,0.895,0.045,0.05,0.005,0.005,predicted_fsrq
4FGL J1342.0+1043,unass,AGN,0.895,0.895,0.0,0.04,0.05,0.015,predicted_bll
4FGL J1106.2+7303,unass,AGN,0.895,0.895,0.02,0.05,0.01,0.025,predicted_fsrq
4FGL J2323.9+2519,unass,AGN,0.895,0.895,0.02,0.03,0.02,0.035,predicted_bll
4FGL J1451.6-3726,unass,AGN,0.895,0.895,0.04,0.025,0.02,0.02,predicted_bcu
4FGL J0807.2+3312,unass,AGN,0.895,0.895,0.0,0.035,0.02,0.05,predicted_bll
4FGL J1346.5+3646,unass,AGN,0.895,0.895,0.0,0.0,0.105,0.0,predicted_bll
4FGL J0155.5+2920,unass,AGN,0.895,0.895,0.01,0.05,0.025,0.02,predicted_bcu
4FGL J1532.3-3857,unass,AGN,0.895,0.895,0.015,0.08,0.005,0.005,predicted_bll
4FGL J0850.4-2558,unass,AGN,0.895,0.895,0.02,0.03,0.03,0.025,predicted_bcu
4FGL J1231.8-0450,unass,AGN,0.895,0.895,0.08,0.025,0.0,0.0,predicted_bll
4FGL J0505.8-1923,unass,AGN,0.895,0.895,0.0,0.065,0.005,0.035,predicted_bll
4FGL J0046.7-7048,unass,AGN,0.895,0.895,0.005,0.07,0.01,0.02,predicted_bll
4FGL J1017.4+5956,unass,AGN,0.895,0.895,0.005,0.035,0.015,0.05,predicted_bcu
