Source_Name,Micro_Class,Micro_Conf,Final_Class
4FGL J0420.3-3745,bll,0.7788365751710602,predicted_bll
4FGL J0421.0-0752,fsrq,0.745,predicted_fsrq
4FGL J0423.1+2106,fsrq,0.5348148148148149,remains_bcu
4FGL J0423.7+0831,bll,0.968180894308943,predicted_bll
4FGL J0425.3+6319,bll,0.9848170731707316,predicted_bll
4FGL J0426.5+2007,fsrq,0.7193995983935744,predicted_fsrq
4FGL J0426.7+6826,bll,0.8532674812932167,predicted_bll
4FGL J0427.3-3900,fsrq,0.967460017828116,predicted_fsrq
4FGL J0427.5-1831,bll,0.825,predicted_bll
4FGL J0428.7-5003,bll,0.525,remains_bcu
4FGL J0429.0-0006,fsrq,0.924047619047619,predicted_fsrq
4FGL J0429.8+2843,bll,0.9788390775580964,predicted_bll
4FGL J0430.3+1654,fsrq,0.5595687507784282,remains_bcu
4FGL J0431.2-0358,fsrq,0.9381666666666666,predicted_fsrq
4FGL J0432.0+1732,fsrq,0.6348591549295775,remains_bcu
4FGL J0433.5-1039,bll,0.6926149963707566,remains_bcu
4FGL J0434.3-2517,fsrq,0.8,predicted_fsrq
4FGL J0436.2-0038,bll,0.6245918367346939,remains_bcu
4FGL J0436.7-7148,bll,0.7647826086956522,predicted_bll
4FGL J0436.8-5223,fsrq,0.8853684408684239,predicted_fsrq
4FGL J0437.2-5846,fsrq,0.664375,remains_bcu
4FGL J0439.2+2151,fsrq,0.8486218206157965,predicted_fsrq
4FGL J0439.4-3202,bll,0.9993828629717784,predicted_bll
4FGL J0440.2+4246,bll,0.754,predicted_bll
4FGL J0440.4+1440,fsrq,0.7746567125068253,predicted_fsrq
4FGL J0441.3-2617,bll,0.985,predicted_bll
4FGL J0444.5+0719,fsrq,0.8249386503067484,predicted_fsrq
4FGL J0444.6+3425,bll,0.8747919475425912,predicted_bll
4FGL J0446.3-1729,bll,0.885,predicted_bll
4FGL J0447.2-2539,bll,0.985,predicted_bll
4FGL J0447.4-2747,fsrq,0.675,remains_bcu
4FGL J0449.6+3027,fsrq,0.7098995983935743,predicted_fsrq
4FGL J0450.3-4419,fsrq,0.8448995983935742,predicted_fsrq
4FGL J0450.4+7230,bll,0.7871447544480131,predicted_bll
4FGL J0450.7-4938,bll,0.69,remains_bcu
4FGL J0450.8-2327,bll,0.6633333333333334,remains_bcu
4FGL J0451.8+5721,bll,0.935,predicted_bll
4FGL J0452.0+2100,bll,0.8942225609756097,predicted_bll
4FGL J0453.5-1233,fsrq,0.7938275862068965,predicted_fsrq
4FGL J0453.9+3727,bll,0.7645114695891004,predicted_bll
4FGL J0456.2+2702,fsrq,0.9999596774193548,predicted_fsrq
4FGL J0456.3-1634,bll,0.9532793059710885,predicted_bll
4FGL J0456.4-4043,bll,0.62,remains_bcu
4FGL J0458.0+1152,bll,0.9688215776752364,predicted_bll
4FGL J0458.6+5509,fsrq,0.7799386503067484,predicted_fsrq
4FGL J0459.2-2612,fsrq,0.575,remains_bcu
4FGL J0459.4+1921,bll,0.8695045045045046,predicted_bll
4FGL J0459.7-4529,fsrq,0.9796013591207848,predicted_fsrq
4FGL J0500.1+5447,bll,0.53,remains_bcu
4FGL J0500.4-5321,fsrq,0.525,remains_bcu
4FGL J0501.0+2424,bll,0.9993333333333334,predicted_bll
4FGL J0501.0-2423,fsrq,0.9548382487003227,predicted_fsrq
4FGL J0501.7+3048,bll,0.9707300588778351,predicted_bll
4FGL J0502.5+3438,fsrq,0.8886252477442237,predicted_fsrq
4FGL J0503.6+4518,bll,0.9648475609756098,predicted_bll
4FGL J0504.3-0955,bll,0.85,predicted_bll
4FGL J0505.6+6405,fsrq,0.8807329317269076,predicted_fsrq
4FGL J0505.8+3322,bll,0.9219312881937344,predicted_bll
4FGL J0506.0-0357c,bll,0.795,predicted_bll
4FGL J0507.4-3346,bll,0.994971098265896,predicted_bll
4FGL J0507.9+4647,fsrq,0.8965141119178648,predicted_fsrq
4FGL J0508.2+5211,bll,0.7354831932773109,predicted_bll
4FGL J0509.1+1943,fsrq,0.8483333333333334,predicted_fsrq
4FGL J0509.1-7317,bll,0.75,predicted_bll
4FGL J0509.2+5550,bll,0.6454166666666667,remains_bcu
4FGL J0509.3-2917,bll,0.880010302179346,predicted_bll
4FGL J0510.4-1809,fsrq,0.84,predicted_fsrq
4FGL J0511.4-6804,bll,0.6598901098901098,remains_bcu
4FGL J0512.8+4041,bll,0.5098611111111111,remains_bcu
4FGL J0514.5+6247,bll,0.8223047223902725,predicted_bll
4FGL J0515.5-0125,bll,0.9456909173379024,predicted_bll
4FGL J0515.9+0537,bll,0.757621406627167,predicted_bll
4FGL J0516.1-7240,fsrq,0.7052455357142857,predicted_fsrq
4FGL J0516.7+2743,bll,0.7,predicted_bll
4FGL J0517.7-1758,fsrq,0.9897275759822092,predicted_fsrq
4FGL J0517.9-6930c,fsrq,0.895,predicted_fsrq
4FGL J0519.0+0851,fsrq,0.748125,predicted_fsrq
4FGL J0519.6+2744,bll,0.9195045045045046,predicted_bll
4FGL J0520.4+3607,fsrq,0.9646896258503402,predicted_fsrq
4FGL J0520.6+6531,bll,0.9598475609756096,predicted_bll
4FGL J0521.4-2957,bll,0.92,predicted_bll
4FGL J0521.8+5658c,fsrq,0.769375,predicted_fsrq
4FGL J0521.8-3848,fsrq,0.9394909274193548,predicted_fsrq
4FGL J0524.1-5659,fsrq,0.7393979591836736,predicted_fsrq
4FGL J0524.5+2839,bll,0.9771435797637024,predicted_bll
4FGL J0524.5-2614,bll,0.6331043956043956,remains_bcu
4FGL J0524.6-2819,fsrq,0.9190662650602408,predicted_fsrq
4FGL J0525.6-6013,bll,0.9749462365591398,predicted_bll
4FGL J0526.1+6318,bll,0.7172469358598391,predicted_bll
4FGL J0526.3+2246,bll,0.86236507927071,predicted_bll
4FGL J0529.1-0101,bll,0.6734950248756217,remains_bcu
4FGL J0529.1+0935,bll,0.9741976289207144,predicted_bll
4FGL J0529.3-7243,fsrq,0.7449596774193549,predicted_fsrq
4FGL J0530.4+3303,bll,0.9381410221196808,predicted_bll
4FGL J0532.7+5749,fsrq,0.8397916666666667,predicted_fsrq
4FGL J0532.8-3941,fsrq,0.9649386503067484,predicted_fsrq
4FGL J0532.9+6936,bll,0.7017045454545454,predicted_bll
4FGL J0533.0-8446,fsrq,0.585,remains_bcu
4FGL J0533.1-6119,fsrq,0.754375,predicted_fsrq
4FGL J0533.3-5549,fsrq,0.9698995983935742,predicted_fsrq
4FGL J0535.7-6604c,bll,0.9946377649325626,predicted_bll
4FGL J0536.0-2754,fsrq,0.79472554539057,predicted_fsrq
4FGL J0536.5-2548,bll,0.9820270481550968,predicted_bll
4FGL J0538.6+0443,bll,0.92,predicted_bll
4FGL J0539.0+1644,bll,0.9748475609756098,predicted_bll
4FGL J0539.7-1030,bll,0.6053575989782887,remains_bcu
4FGL J0539.7-0521c,fsrq,0.93,predicted_fsrq
4FGL J0540.0+1209,fsrq,0.5597127739984883,remains_bcu
4FGL J0541.1-4854,bll,0.9035355675859624,predicted_bll
4FGL J0541.4-7334,bll,0.75,predicted_bll
4FGL J0542.4+3547c,fsrq,0.8598995983935742,predicted_fsrq
4FGL J0542.8-3458,bll,0.935,predicted_bll
4FGL J0542.9-0913,fsrq,0.9035416666666668,predicted_fsrq
4FGL J0543.2+8238,fsrq,0.9599386503067484,predicted_fsrq
4FGL J0545.0+0613c,fsrq,0.7798275862068965,predicted_fsrq
4FGL J0548.5-5218,bll,0.8433333333333334,predicted_bll
4FGL J0549.0+3258c,bll,0.9845890410958904,predicted_bll
4FGL J0550.9+2552c,fsrq,0.7595000000000001,predicted_fsrq
4FGL J0551.0-1622,fsrq,0.579375,remains_bcu
4FGL J0551.8-3517,bll,0.8243283582089552,predicted_bll
4FGL J0552.4+3755,fsrq,0.8246666666666667,predicted_fsrq
4FGL J0552.8+0313,fsrq,0.78453125,predicted_fsrq
4FGL J0554.3-1009c,fsrq,0.8397271846004708,predicted_fsrq
4FGL J0555.1+0304,fsrq,0.8848995983935742,predicted_fsrq
4FGL J0557.2+7705,bll,0.9222868134186863,predicted_bll
4FGL J0557.3-0615,bll,0.963916269210387,predicted_bll
4FGL J0557.4-0302,fsrq,0.6,remains_bcu
4FGL J0557.6-0721,bll,0.905,predicted_bll
4FGL J0558.1-2859,bll,0.7695833333333334,predicted_bll
